inferred_state_h2,event_count,mean_gap_hours,median_gap_hours,p90_gap_hours,share_pct
Demand rebalancing likely (<8h + top-demand destination),946608,2.871442719689671,2.216666666666667,6.183333333333334,16.415562362655656
"Operational / unknown short idle (<8h, non-demand destination)",1014006,3.852153767663439,3.65,6.983333333333333,17.584341912499166
Short repair likely (8h-24h),1794268,15.648526920170232,15.233333333333333,22.9,31.115222192626135
"Preventive maintenance likely (24h-96h, max 2 per bike-year)",228461,72.93144533786219,75.48333333333333,93.4,3.961846712614592
Repeat downtime beyond preventive cap (24h-96h),1232785,40.48351529260982,37.4,64.03333333333333,21.378288633992586
Long repair likely (96h-336h),442812,170.7111695256678,155.28333333333333,265.3333333333333,7.679005460478125
Out-of-service candidate (>336h),107588,1320.9683043957814,565.0333333333333,2470.7883333333334,1.8657327251337372
