station_key,station_id,station_name,total_start_count,total_end_count
798ee2231c191e985315a6dad198a448,300233,"Aquatic Centre, Queen Elizabeth Olympic Park",6335,6493
92e29bb5fe547777373b40ed7811a142,300025,"Archbishop's Park, Waterloo",1932,1998
3dba5617e6b4b8b30b3850e657c2d109,641,"Archbishop's Park, Waterloo",75753,81493
a6c90d285e67863a481f0fddad6a5af0,168,"Argyll Road, Kensington",69909,71476
347e607877686157fe3e5a96bd0f658c,3463,"Argyll Road, Kensington",1894,1867
cd7e381c92a8004639e522b3485b15c2,200070,"Arlington Road, Camden Town",1861,1790
afee4044fa1aa2135f750b48b46ee4c6,545,"Arlington Road, Camden Town",74700,74977
6a96b802f5d5bf0ae4c12b3ca1e7dbeb,79,"Arundel Street, Temple",35051,37501
09e8b289e2e1aad07b9bd478899e1c96,3455,"Arundel Street, Temple",225,227
030bb05a0a1a7bbdf84922cf0be83671,200169,"Ashley Crescent, Battersea",2263,2160
e1ffea9d613d5aa406e9f879eb955816,670,"Ashley Crescent, Battersea",75295,71182
107d122df8c54c3ed207772f21242612,1122,"Ashley Place, Victoria",3290,3495
a83ad54500620697ffd1080e1dfd3900,177,"Ashley Place, Victoria",171816,180365
e9bca09ccc7676613ba794a454c8bf60,200223,"Ashmole Estate, Oval",2067,1973
502d8fec89d040f1da012c63a9389907,654,"Ashmole Estate, Oval",74711,70932
a52d38b733d607730ad42a22b7890ab8,200013,"Aston Street, Stepney",2201,2002
d7af07fdc74f1250ed91fc23c8d15ad1,461,"Aston Street, Stepney",48607,45990
793cae93c23f6cad4cfa42e1b36dd1d3,664,"Austin Road, Battersea",97537,93039
5f5455cb3c356247e0feff4ca8ea6c44,664,"Austin Road, Battersea Park",97537,93039
b61b414332e731fc085f0552e87b731f,300013,"Austin Road, Battersea Park",2993,3005
ac1ef5559d005acc2ff81a859217cd15,300049,"Aylward Street, Stepney",1508,1394
4b24189a9af64fc249e023fffb2522ee,715,"Aylward Street, Stepney",56660,50941
971ff69092db3b88d8e004502c1a7de3,601,"BBC White City, White City",71305,74615
53c39f5d32d65478c0fc407c4b995737,200136,"BBC White City, White City",2782,2777
333ac219a03716610eb75f1e85dc6fb8,1086,"Baker Street, Marylebone",3638,3661
516f567b120773b8a4d66df18b92a556,121,"Baker Street, Marylebone",91990,90255
85381429f51d452a49f23fc494a31be2,3500,"Baldwin Street, St. Luke's",3616,3790
bc010c4220337fd2919821ad282a44dc,319,"Baldwin Street, St. Luke's",107747,106922
362dfb1dfc00870a04aa25c55a37ce38,520,"Bancroft Road, Bethnal Green",73152,66156
a7f61b930156e43c60fe3c3d47983aaa,200234,"Bancroft Road, Bethnal Green",2439,2193
363ab2a20bc1682fc15ba5047245b332,340,"Bank of England Museum, Bank",168729,181225
af66e1f2a84a9a7f95ef23f0804e208b,1201,"Bank of England Museum, Bank",4601,4793
b8f475c2bca7d635243fb43713c0e3df,963,"Bankside Mix, Bankside",2968,3599
09a569e88343a1748844c8d2fb155614,193,"Bankside Mix, Bankside",171104,198024
dc0ea9039085fa288a062533c0932ed7,275,"Barbican Centre, Barbican",92280,95387
1a899ef6036645665cae789f56febda2,1191,"Barbican Centre, Barbican",3152,3175
bd390057429f81cf202b7fa86d29091d,200197,"Barons Court Station, West Kensington",4467,4456
acd12f0294fefed45a44075eb8ff117c,707,"Barons Court Station, West Kensington",109431,104130
3a1a6f4c2aed3b7aac426ac02325e47a,119,"Bath Street, St. Luke's",157401,159954
1b393d303a16999d2c30641b60ae55d9,964,"Bath Street, St. Luke's",3844,3865
a0d028aa5fb0cfd5ddfbd77e4d6dd034,200201,"Battersea Church Road, Battersea",2987,2842
8892942881829f51fdd2d417d864c812,700,"Battersea Church Road, Battersea",86638,82155
341a490e4d145aaadc71a18493b71941,200183,"Battersea Park Road, Nine Elms",6776,6801
18a337e65be0d7f6175a63c41126b747,631,"Battersea Park Road, Nine Elms",92746,87089
bad236730725b7490a7f40f77fa7437f,300221,"Battersea Power Station, Battersea Park",7453,7465
6842450ca31392710581af7ef5aca5a9,821,"Battersea Power Station, Battersea Park",146970,142177
04fdfd4939eaf996d4ad537d9117698b,88,"Bayley Street , Bloomsbury",143795,150095
6c87e7beb614beec8de3383c3fe047cf,1006,"Bayley Street , Bloomsbury",4553,4736
9498b6496e8e0f1ba7abcdeb0b4345f3,1133,"Baylis Road, Waterloo",6169,6277
a0629a0b7f4922f1a9f62dda218b9e60,272,"Baylis Road, Waterloo",207678,217017
36a1e7b8d37727ae6a7ceadf678be97d,153,"Bayswater Road, Hyde Park",226530,219031
6a8bff2dbe5a9d69e8383e1259dae8fc,1096,"Bayswater Road, Hyde Park",5172,4350
e655e74bf27d8404be18a52bc6b05845,3482,"Beaumont Street, Marylebone",3391,3322
747b4e67499e996b72b82a4c8c1f45ac,242,"Beaumont Street, Marylebone",101164,99713
93d3c7d57391f15f873b79febc42b279,287,"Bedford Way, Bloomsbury",67771,64523
2dd67df8eb182d6b2dbfb9c3a6d6288d,1156,"Bedford Way, Bloomsbury",2046,2016
459afc5b374d0b1aa48979e6f958ac80,200057,"Belford House, Haggerston",973,950
18c5e95895ed5847789f868d47d65481,699,"Belford House, Haggerston",53492,43601
433a4896bffd606d5188c73106d2a0ad,1087,"Belgrave Road, Victoria",3231,3332
a02b6993664da09e3802a58ddcafba0a,268,"Belgrave Road, Victoria",133178,131515
950fd4e98bbcad6259643dc09ca6f55a,181,"Belgrave Square, Belgravia",59880,58842
e34d752647703c94a6c7d28e1bcd4ba7,3473,"Belgrave Square, Belgravia",2182,2181
7bfd111c2d59687db9432be0c9a9f6fe,1011,"Belgrove Street , King's Cross",13362,13607
3d8bc6b47ca5409312ec07f14eb195f9,14,"Belgrove Street , King's Cross",579557,571662
b1b9bfbbb5a337a600eeb0fbc9d2fbc4,506,"Bell Lane, Liverpool Street",102163,105662
bcf696fc378ff9c31b04cb36a5e356a6,200036,"Bell Lane, Liverpool Street",3165,3224
7d8691b79e8fe02e768b3b7912106318,182,"Bell Street , Marylebone",88557,84821
47ebf61ddbbc18ae6abf03abd4c45cff,1166,"Bell Street , Marylebone",2535,2389
524981307d5d045f0090eef72b7137cd,273,"Belvedere Road 1, South Bank",141530,157373
58a4d09f9b1b28739a0eadd69c86ce2b,1186,"Belvedere Road 1, South Bank",3251,3597
ea22deff04de9386e7f4cc744d1c5d98,819,"Belvedere Road 2, South Bank",67754,73890
a50cc83c4379ec3747d127465ba05bbe,300246,"Belvedere Road 2, South Bank",2090,2229
0319db030e2d3f1716fd24da874b53a8,1186,"Belvedere Road, South Bank",3251,3597
bc37e0eb8879d1ec22823301b28a92b2,273,"Belvedere Road, South Bank",141530,157373
da039a3fe6026863f0f2819ca5711ab5,845,"Bermondsey Station, Bermondsey",23196,24574
bd73ea7cf8f98751b624bb60a1f6e859,300253,"Bermondsey Station, Bermondsey",2776,2945
8925f7268a92d756719006eea1e277af,2637,"Bermondsey Street, Bermondsey",5542,5254
33bd256835492cdfbfee9ec4118f2bf2,321,"Bermondsey Street, Bermondsey",178021,173114
2093a4f6712739338ace2eea1a4922ba,1159,"Berry Street, Clerkenwell",4000,3978
01da3ed2e32c7169470eb8aa752a2fb0,246,"Berry Street, Clerkenwell",168177,174886
d7cda45e4cd905742860a33e5079f37d,686,"Beryl Road, Hammersmith",63836,61839
340759181502c7746345890c0fd323ca,200097,"Beryl Road, Hammersmith",2472,2440
fbf2569b5f515d09fc6b3391d175a9a8,200047,"Bethnal Green Garden, Bethnal Green",2181,2085
048f56b8abdcdc81b009a10246513584,444,"Bethnal Green Garden, Bethnal Green",90947,87426
76a8d176bc44a644606893793b437989,444,"Bethnal Green Gardens, Bethnal Green",90947,87426
272e5ac59216f36c372a32720960c14c,973,"Bethnal Green Road, Shoreditch",8391,8430
ac7a110b5377b9f89e1d4c6ce3fccae9,132,"Bethnal Green Road, Shoreditch",310712,313779
d6eddecf9f3a75e5c1ad8e73e416afbc,300236,"Bevington Road West, North Kensington",2656,2648
225b41e2726d356f6d1fefdf21a97a92,807,"Bevington Road West, North Kensington",79634,78585
4b34e95751e792c107f61496b368c347,805,"Bevington Road, North Kensington",32729,30486
932e855c5964ee697ca1f4c2b71f4582,300244,"Bevington Road, North Kensington",2181,2082
76c3897428aa50f92af7ba18a8730154,772,"Binfield Road, Stockwell",136178,138593
95b53efcbb00779fb606c44e0d924b82,300015,"Binfield Road, Stockwell",3860,3692
cca880fefe13bdf88f06bc7aa41f9008,798,"Birkenhead Street, King's Cross",101917,104440
15fdaedc0fb4a3ff81bcf42ec05048c3,300212,"Birkenhead Street, King's Cross",3177,3196
5a3cce02d3f3518b59b94a25b6d15ea7,681,"Bishop's Avenue, Fulham",83513,84751
46d0bddfd4d487763ffec95d9cc5530b,200043,"Bishop's Avenue, Fulham",2227,2158
4e77c0b33ae2d91e74b450336c613492,200108,"Bishop's Bridge Road East, Bayswater",1432,1182
a9ffc1069089c7a4a05837392d94e09e,592,"Bishop's Bridge Road East, Bayswater",56113,47783
953b8d0e7475340e5ebd638cd8ab5f1c,568,"Bishop's Bridge Road West, Bayswater",121459,116136
a069f632dca2c481751f55fd96ddaa74,200110,"Bishop's Bridge Road West, Bayswater",4217,4017
dc50d5adf9c5c708b41f8757375d9170,1157,"Black Lion Gate, Kensington Gardens",6575,6463
aaff74cf6b5c0f13805905ca3547640d,307,"Black Lion Gate, Kensington Gardens",452938,445949
4671e2ff2a2edb0196f1ec6236546c68,1205,"Black Prince Road, Vauxhall",3166,3116
a6bdf90353e7faf1abb2f2ad2aadf435,310,"Black Prince Road, Vauxhall",95156,91971
